id	time	stream	text	context	notes
71	2019-10-08 13:07:30.09	CMD	"three feet"	None	None
72	2019-10-08 13:07:55.43	DM->CMD	"How far forward should I go? <beep>"	None	None
73	2019-10-08 13:07:35.35	CMD	"three feet"	None	None
74	2019-10-08 13:07:57.68	DM->RN	" turn left 180"	None	None
75	2019-10-08 13:07:57.68	DM->CMD	"I will turn left 180."	None	None
76	2019-10-08 13:07:38.31	CMD	"no don't turn"	None	None
77	2019-10-08 13:08:00.76	DM->CMD	"Can you repeat that? <beep>"	None	None
78	2019-10-08 13:08:01.79	RN	" turning. . ."	None	None
79	2019-10-08 13:08:01.82	DM->CMD	"turning. . ."	None	None
80	2019-10-08 13:07:41.06	CMD	"I said three feet forward"	None	None
81	2019-10-08 13:08:05.18	DM->RN	" move forward 10ft"	None	None
82	2019-10-08 13:08:05.19	DM->CMD	"I will move forward 10ft."	None	None
83	2019-10-08 13:07:49.49	CMD	"okay"	None	None
84	2019-10-08 13:08:11.60	DM->RN	" ok"	None	None
85	2019-10-08 13:08:11.60	DM->CMD	"Processing...."	None	None
86	2019-10-08 13:08:33.60	RN	" Can you rephrase that? <beep>"	None	None
87	2019-10-08 13:08:33.61	DM->CMD	"Can you rephrase that? <beep>"	None	None
88	2019-10-08 13:08:14.37	CMD	"can you move forward ten feet"	None	None
89	2019-10-08 13:08:38.60	DM->RN	" move forward 10ft"	None	None
90	2019-10-08 13:08:38.64	DM->CMD	"I will move forward 10ft."	None	None
91	2019-10-08 13:08:41.25	RN	" moving. . ."	None	None
92	2019-10-08 13:08:41.34	DM->CMD	"moving. . ."	None	None
93	2019-10-08 13:08:52.56	RN	" done"	None	None
94	2019-10-08 13:08:52.61	DM->CMD	"done"	None	None
95	2019-10-08 13:08:34.25	CMD	"can you move forward five feet"	None	None
96	2019-10-08 13:08:58.49	DM->RN	" move forward 5 feet"	None	None
97	2019-10-08 13:08:58.50	DM->CMD	"I will move forward 5 feet."	None	None
98	2019-10-08 13:09:04.23	RN	" moving. . ."	None	None
99	2019-10-08 13:09:04.28	DM->CMD	"moving. . ."	None	None
100	2019-10-08 13:09:12.96	RN	" done"	None	None
101	2019-10-08 13:09:12.99	DM->CMD	"done"	None	None
102	2019-10-08 13:08:53.58	CMD	"can you turn ninety degrees to the right"	None	None
103	2019-10-08 13:09:17.61	DM->RN	" turn right 90 degrees"	None	None
104	2019-10-08 13:09:17.65	DM->CMD	"I will turn right 90 degrees."	None	None
105	2019-10-08 13:09:20.36	RN	" turning. . ."	None	None
106	2019-10-08 13:09:20.47	DM->CMD	"turning. . ."	None	None
107	2019-10-08 13:09:31.25	RN	" done"	None	None
108	2019-10-08 13:09:31.31	DM->CMD	"done"	None	None
109	2019-10-08 13:09:11.14	CMD	"take a picture"	None	None
110	2019-10-08 13:09:33.74	DM->RN	" send image"	None	None
111	2019-10-08 13:09:33.75	DM->CMD	"I will send image."	None	None
i003	2019-10-08 13:08:56.01	IMAGE	"frame003"	None	None
112	2019-10-08 13:09:35.97	RN	" sent"	None	None
